Ref.,Comp.,A-site,B-site,X-site,CS,Spg.,a,b,c,α,β,γ,Temp.
p.3,AgMgF3,Ag,Mg,F,C.,221,4.1162,4.1162,4.1162,90,90,90,NaN
p.3,CsPbI3,Cs,Pb,I,C.,221,6.2894,6.2894,6.2894,90,90,90,NaN
p.3,KCuF3,K,Cu,F,T.,140,5.6086,5.6086,7.6281,90,90,90,NaN
p.3,KMgF3,K,Mg,F,C.,221,3.9897,3.9897,3.9897,90,90,90,NaN
p.3,KZnF3,K,Zn,F,C.,221,4.056,4.056,4.056,90,90,90,NaN
p.3,NaMgF3,Na,Mg,F,O.,62,4.8904,5.2022,7.1403,90,90,90,NaN
p.3,NaFeF3,Na,Fe,F,O.,62,5.6612,7.8801,5.4836,90,90,90,NaN
p.3,NH4ZnF3,NH4,Zn,F,C.,221,4.1162,4.1162,4.1162,90,90,90,NaN
p.3,KTaO3,K,Ta,O,C.,221,4.0316,4.0316,4.0316,90,90,90,NaN
p.3,KNbO3,K,Nb,O,O.,38,3.971,5.697,5.723,90,90,90,NaN
p.3,SrTiO3,Sr,Ti,O,C.,221,3.905,3.905,3.905,90,90,90,NaN
p.3,BaTiO3,Ba,Ti,O,T.,99,3.9906,3.9906,4.0278,90,90,90,NaN
p.3,CaTiO3,Ca,Ti,O,O.,62,5.4035,5.4878,7.6626,90,90,90,NaN
p.3,BaSnO3,Ba,Sn,O,C.,221,4.117,4.117,4.117,90,90,90,NaN
p.3,CdSnO3,Cd,Sn,O,O.,62,5.2856,7.4501,5.1927,90,90,90,NaN
p.3,CaIrO3,Ca,Ir,O,O.,62,5.2505,5.5929,7.6769,90,90,90,NaN
p.3,PbTiO3,Pb,Ti,O,T.,99,3.902,3.902,4.143,90,90,90,NaN
p.3,PbZrO3,Pb,Zr,O,O.,55,5.8822,11.7813,8.2293,90,90,90,NaN
p.3,SrCoO3,Sr,Co,O,C.,221,3.855,3.855,3.855,90,90,90,NaN
p.3,SrMoO3,Sr,Mo,O,C.,221,3.9761,3.9761,3.9761,90,90,90,NaN
p.3,SrRuO3,Sr,Ru,O,O.,62,5.5328,7.8471,5.5693,90,90,90,NaN
p.3,BiFeO3,Bi,Fe,O,Tr.,161,5.5798,5.5798,13.867,90,90,120,NaN
p.3,BiInO3,Bi,In,O,O.,62,5.9546,8.3864,5.0619,90,90,90,NaN
p.3,ErCoO3,Er,Co,O,O.,62,5.1212,5.4191,7.3519,90,90,90,NaN
p.3,GdFeO3,Gd,Fe,O,O.,62,5.349,5.6089,7.6687,90,90,90,NaN
p.3,HoCrO3,Ho,Cr,O,O.,62,5.518,7.539,5.245,90,90,90,NaN
p.3,LaAlO3,La,Al,O,Tr.,161,5.3644,5.3644,13.1195,90,90,120,NaN
p.3,LaCoO3,La,Co,O,Tr.,167,5.4437,5.4437,13.0957,90,90,120,NaN
p.3,LaMnO3,La,Mn,O,O.,62,5.5367,5.7473,7.6929,90,90,90,NaN
p.3,LaTiO3,La,Ti,O,O.,62,5.576,5.542,7.587,90,90,90,NaN
p.3,NdAlO3,Nd,Al,O,Tr.,167,5.3796,5.3796,13.1386,90,90,120,NaN
p.3,PrRuO3,Pr,Ru,O,O.,62,5.8344,7.7477,5.3794,90,90,90,NaN
p.3,YbMnO3,Yb,Mn,O,O.,62,5.2208,5.8033,7.3053,90,90,90,NaN
p.3,ThTaN3,Th,Ta,O,C.,221,4.02,4.02,4.02,90,90,90,NaN
p.20,LaNiO3,La,Ni,O,Tr.,167,5.4524,5.4524,13.1572,90,90,120,NaN
p.20,LaNbO3,La,Nb,O,Tr.,161,5.3181,5.3181,13.8481,90,90,120,NaN
p.20,LaTaO3,La,Ta,O,Tr.,161,5.1528,5.1528,13.7795,90,90,120,NaN
p.22,YAlO3,Yb,Al,O,O.,62,5.18,5.31,7.35,90,90,90,NaN
p.22,NdTiO3,Nd,Ti,O,O.,62,5.52532,5.65945,7.79066,90,90,90,NaN
p.22,SmTiO3,Sm,Ti,O,O.,62,5.4647,5.6712,7.7291,90,90,90,NaN
p.22,GdTiO3,Gd,Ti,O,O.,62,5.4031,5.7009,7.7133,90,90,90,NaN
p.22,YTiO3,Yb,Ti,O,O.,62,5.321,5.6727,7.5949,90,90,90,NaN
p.22,TbCoO3,Tb,Co,O,O.,62,5.1995,5.3945,7.4102,90,90,90,NaN
p.22,DyCoO3,Dy,Co,O,O.,62,5.1655,5.4143,7.7866,90,90,90,NaN
p.22,SrRuO3,Sr,Ru,O,O.,62,5.5754,5.5405,7.8546,90,90,90,NaN
p.22,CaMnO3,Ca,Mn,O,O.,62,5.2781,7.4542,5.2758,90,90,90,NaN
p.22,EuNiO3,Eu,Ni,O,O.,62,5.2945,5.4681,7.5404,90,90,90,NaN
p.22,LaCrO3,La,Cr,O,O.,62,5.5163,5.479,7.7616,90,90,90,NaN
p.22,LaFeO3,La,Fe,O,O.,62,5.5563,5.563,7.8535,90,90,90,NaN
p.22,SrSnO3,Sr,Sn,O,O.,62,5.7042,5.7113,8.0674,90,90,90,NaN
p.22,SrZnO3,Sr,Zn,O,O.,62,5.7093,5.7053,8.0676,90,90,90,NaN
p.22,CeMnO3,Ce,Mn,O,O.,62,5.537,5.557,7.821,90,90,90,NaN
p.22,PrMnO3,Pr,Mn,O,O.,62,5.608,7.634,5.442,90,90,90,NaN
p.22,NdMnO3,Nd,Mn,O,O.,62,5.7233,7.587,5.4209,90,90,90,NaN
p.22,SmMnO3,Sm,Mn,O,O.,62,5.3584,5.7959,7.4608,90,90,90,NaN
p.22,EuMnO3,Eu,Mn,O,O.,62,5.3437,5.8361,7.46186,90,90,90,NaN
p.22,GdMnO3,Gd,Mn,O,O.,62,5.316,5.8683,7.4252,90,90,90,NaN
p.22,DyMnO3,Dy,Mn,O,O.,62,5.31606,5.82304,7.38443,90,90,90,NaN
p.22,HoMnO3,Ho,Mn,O,O.,62,5.2565,5.8329,7.3602,90,90,90,NaN
p.22,ErMnO3,Er,Mn,O,O.,62,5.2402,5.8228,7.3436,90,90,90,NaN
p.22,TmMnO3,Tm,Mn,O,O.,62,5.231,5.8157,7.3218,90,90,90,NaN
p.22,LuMnO3,Lu,Mn,O,O.,62,5.18956,5.78498,7.2815,90,90,90,NaN
p.26,CsSnI3,Cs,Sn,I,O.,62,8.6885,12.3775,8.6384,90,90,90,300
p.26,CsSnI3,Cs,Sn,I,T.,127,8.7182,8.7182,6.1908,90,90,90,350
p.26,CsSnI3,Cs,Sn,I,C.,221,6.2057,6.2057,6.2057,90,90,90,478
p.26,MAGeCl3,MA,Ge,Cl,M.,14,10.9973,7.2043,8.2911,90.47,90,90,2
p.26,MAGeCl3,MA,Ge,Cl,O.,62,11.1567,7.3601,8.2936,90,90,90,250
p.26,MAGeCl3,MA,Ge,Cl,Tr.,160,5.6784,5.6784,5.6784,90.95,90,90,370
p.26,MAGeCl3,MA,Ge,Cl,C.,221,5.6917,5.6917,5.6917,90,90,90,475
p.26,MASnCl3,MA,Sn,Cl,Tri.,1,5.726,8.227,7.91,90.4,93.08,90.15,297
p.26,MASnCl3,MA,Sn,Cl,M.,7,5.718,8.326,7.938,90,93.03,90,318
p.26,MASnCl3,MA,Sn,Cl,Tr.,160,5.734,5.734,5.734,91.9,90,90,350
p.26,MASnCl3,MA,Sn,Cl,C.,221,5.76,5.76,5.76,90,90,90,478
p.26,MASnBr3,MA,Sn,Br,O.,26,5.8941,8.3862,8.2406,90,90,90,215
p.26,MASnI3,MA,Sn,I,T.,99,6.2302,6.2302,6.231,90,90,90,293
p.26,MASnI3,MA,Sn,I,T.,108,8.7577,8.7577,12.429,90,90,90,200
p.26,FASnI3,FA,Sn,I,O.,38,6.3286,8.9554,8.9463,90,90,90,340
p.26,FASnI3,FA,Sn,I,O.,44,12.5121,12.5171,12.5099,90,90,90,180
p.26,MAPbI3,MA,Pb,I,O.,62,8.8362,12.5804,8.5551,90,90,90,100
p.26,MAPbI3,MA,Pb,I,T.,140,8.851,8.851,12.444,90,90,90,298
p.26,MAPbI3,MA,Pb,I,C.,221,6.274,6.274,6.274,90,90,90,333
p.26,FAPbI3,FA,Pb,I,Tr.,156,8.9817,8.9817,11.006,90,90,120,293
